nbIndividus,nbColnes,nbNouveaux,nbGeneration,nbGenerationInjection,methodeMutAc,methodeSelection,cout,tempExecution
1913,3,88,255,80,0,1,318.842452,46.538

787,72,94,752,159,2,1,213.250402,8.32

499,42,64,1838,826,1,1,188.581864,13.998

1755,16,92,3927,215,0,1,211.092932,410.618

175,16,50,2072,115,2,1,204.038466,8.012

765,83,33,1667,335,2,0,186.318416,8.409

1354,11,68,1467,233,2,0,200.771798,51.574

1999,17,76,1568,368,2,0,194.2912,97.434

1464,20,18,2243,544,2,1,179.605068,151.7

855,50,68,418,58,0,0,275.023922,7.763

897,63,100,751,357,1,1,243.923969,10.662

1023,72,7,4758,485,2,1,150.408024,33.83

1549,5,45,3273,5,0,1,222.206696,377.43

775,91,53,2375,421,0,0,228.915439,9.074

960,100,11,1048,510,1,0,203.533203,7.376

1819,59,22,1667,641,1,1,182.441958,55.005

1615,30,57,1447,699,0,1,234.835386,94.842

721,65,75,1438,535,0,1,245.158369,11.211

547,41,96,1186,364,2,1,210.306904,12.137

868,14,30,891,140,0,0,257.332904,16.584

1957,4,63,4554,165,1,1,167.287432,753.186

1558,17,6,4302,1120,1,0,163.990606,160.133

891,11,84,4563,2034,2,0,179.540744,68.622

405,82,8,4338,859,0,0,203.360584,8.832

1718,79,43,1275,343,2,0,194.072436,13.38

598,74,3,779,60,0,0,255.940549,6.398

964,13,2,4965,1552,1,0,168.061568,82.104

887,23,16,3380,125,0,0,219.170274,41.865

1084,29,28,2400,385,1,0,182.054979,38.409

453,70,2,2277,185,2,0,184.732417,8.27

636,63,73,2626,1086,2,1,175.435513,15.265

1462,3,57,2571,1194,0,1,230.318201,247.956

220,34,52,4327,1928,2,0,185.186191,8.616

1992,65,98,959,295,1,1,201.5576,31.102

1610,13,73,2510,1038,2,0,189.483923,109.782

1963,92,41,2044,888,0,0,217.841843,13.734

1123,59,68,1065,522,2,1,200.510198,18.057

717,2,68,3765,1188,1,0,182.157133,46.454

194,37,97,1629,610,0,1,247.3772,7.044

830,72,75,537,255,1,0,230.050242,6.762

399,54,21,2865,1239,1,1,180.838109,11.8

1517,30,55,3582,840,1,1,166.389434,197.52

1466,34,53,2502,849,0,0,223.172114,57.678

221,17,34,2297,151,2,1,192.408658,9.41

399,75,68,3534,245,0,1,212.861428,9.713

1151,76,55,362,169,2,0,241.872999,6.742

649,46,46,976,77,1,0,216.524758,9.141

1836,31,64,3882,1126,2,1,163.725587,300.834

295,95,47,878,156,2,0,219.891858,5.648

267,51,84,844,96,2,0,229.911315,5.916

1020,26,24,2883,803,1,0,176.958901,42.598

503,85,78,3856,692,0,0,206.708331,9.127

373,5,66,3676,745,0,0,228.261195,16.797

1000,71,53,3648,1100,0,1,208.958589,26.394

1331,42,62,1063,277,0,1,248.194065,36.557

526,4,67,2760,754,0,0,233.107814,21.613

1642,22,28,3742,538,1,0,167.789482,137.132

1320,100,79,771,187,1,1,211.919433,7.857

1494,49,79,3255,787,1,1,168.624284,100.429

1840,99,91,4308,1141,2,1,154.753363,23.728

1077,2,15,1815,576,1,0,209.357045,49.252

845,59,24,3684,374,2,0,168.520985,20.156

1212,16,88,3938,1680,2,0,170.81141,95.411

1151,14,27,4047,1350,0,1,211.75945,192.535

1843,57,29,2400,1027,1,0,177.702364,43.911

481,93,40,1332,21,2,1,198.016591,7.495

653,85,46,358,23,0,1,298.307975,6.088

1946,19,28,4267,2050,1,0,170.427995,229.844

283,39,2,853,386,0,1,258.925928,6.585

110,3,93,3471,1313,0,1,239.114824,7.522

1337,96,67,850,125,1,1,209.948078,8.318

883,49,32,3130,1385,0,1,217.968127,38.754

1451,83,8,3087,187,2,0,170.360952,18.263

189,29,65,4064,901,2,1,159.872898,9.871

1725,10,40,1892,686,1,0,183.969506,101.198

1766,88,85,2472,275,2,1,178.540335,21.016

1001,97,83,3703,690,2,1,161.200176,13.941

1822,88,34,3226,794,1,1,159.250339,25.328

347,52,98,4238,746,0,1,214.946521,13.424

936,88,72,2792,53,1,1,172.898127,15.48

1033,45,73,2443,301,1,0,181.463783,25.863

482,68,61,4336,1474,2,1,165.72227,14.161

1857,16,18,3351,449,2,1,171.230793,382.648

149,81,11,3694,358,2,0,173.96179,6.169

1290,50,50,2605,63,0,0,221.878165,34.894

1515,85,9,1779,113,1,0,180.434233,13.169

1701,76,26,3968,748,0,0,209.795752,31.099

1055,57,88,3974,1290,1,1,164.052487,51.084

1740,4,97,1742,132,2,1,195.233031,231.591

947,45,64,1062,274,2,0,205.27038,13.111

1536,91,12,2886,1399,1,1,170.886592,17.63

867,43,2,3308,1597,1,0,181.033737,27.261

1408,6,46,3618,1032,2,0,186.519197,138.795

1336,19,5,4023,421,0,0,211.075419,107.799

1048,70,12,3420,920,1,0,167.023376,19.469

439,5,84,1701,778,0,1,249.264813,19.718

1681,12,72,3239,1141,1,0,177.590592,154.343

684,77,67,4292,136,2,0,171.088684,14.187

935,42,7,1746,206,1,1,191.778949,31.335

1810,81,73,4372,1686,2,0,154.407872,32.034

1118,60,10,1713,214,1,0,190.13065,15.771

582,27,91,901,133,1,1,211.5839,13.462

438,46,53,4489,421,2,1,167.827837,20.155

1639,75,25,205,68,2,1,260.286068,7.843

198,11,25,1341,230,0,1,247.430265,7.41

1816,98,88,578,75,1,0,227.497769,8.588

1828,31,46,4375,1988,2,0,167.850815,156.783

1292,57,56,3091,1414,2,1,167.044285,55.709

452,6,13,4826,738,2,0,178.252923,26.196

1397,60,20,2679,208,2,1,171.921572,51.379

